"(fC) Contact Rate"	"(fI) Infectivity"	"(tInc) Average Time to Show Symptoms"	"(tR) Average Time to Recovery"	Average time to get vaccinated when infections are low	Average time to get vaccinated when infections are high	weightWeeklyInfected	weightMonthlyVaccinated	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.048573076	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.048573076	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.048573076	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.048573076	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.041501063	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.041501063	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.041501063	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.041501063	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.041501063	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.041501063	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.041501063	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
   22.687059	  0.28616602	  0.31188057	  0.19323039	   2.0953593	 0.025509308	 0.046430429	 0.097981747	
   19.624658	    0.335549	  0.30882427	  0.18986408	   2.0830411	 0.021310969	 0.053456281	 0.064643106	
   16.504643	  0.31751574	  0.26009839	  0.23876478	   1.9747889	 0.019057292	 0.037370865	 0.060962259	
   18.505014	  0.27693254	  0.24960413	  0.24405972	   1.9754493	 0.017362681	 0.053678179	 0.055785816	
   15.739524	   0.2854312	  0.21920402	  0.27862742	   1.9747305	 0.015819124	 0.054955255	 0.029072153	
   18.889136	  0.24574934	  0.22508094	  0.26952942	   1.9851699	 0.015463756	 0.057206949	 0.036216751	
   21.607385	  0.26940643	  0.29010513	  0.21582555	   1.9925961	 0.020307125	 0.048882285	 0.032839154	
   17.926599	  0.28044996	  0.25159282	  0.24910383	   1.9516342	 0.018640706	 0.049643606	 0.030535144	
    17.01952	    0.274354	  0.23481906	  0.26959926	   2.0336006	 0.013769879	 0.044067579	  0.05250561	
   19.180304	  0.28094043	  0.28236902	   0.2343629	   2.0002463	 0.017560915	 0.052464656	 0.044087846	
   17.191881	  0.35028194	  0.29108939	  0.20781154	   2.0829205	 0.021019877	 0.051261344	 0.035141607	
   17.707161	  0.37960734	  0.32243758	  0.18699272	   2.0175415	 0.024576402	 0.044361646	 0.050920196	
   17.482608	  0.30709673	  0.26641301	  0.23315086	   2.0173707	 0.016442491	 0.041501063	 0.053815461	
   16.965189	  0.27435088	  0.23481605	  0.26960274	   2.0336109	 0.013769028	 0.044019279	 0.052491568	
   17.233806	  0.26761695	  0.21787264	  0.26967247	    2.001336	 0.016034531	 0.037100896	  0.05520973	
   16.691842	  0.28762743	  0.23507904	  0.26016845	   2.0118139	 0.016419487	 0.053044388	 0.035666731	
